17946,14642,9770,7786,9939,16392,21425,19291,20559,22854,16617,10326,7285,5038,4109,5160,7933,12301,17619,23946,31989,38701,39176,35449,30993,26156,20146,15299,11210,8494,6442,4605,3422,2849,2710,2985,4178,6487,8674,5748,4586,5749,7487,8208,10663,12658,8478,5812,5922,7130,6966,8247,11504,14048,17296,23573,28201,24907,16235,8937,5033,2657,1320,733,637,747,1119,1709,2641,3904,5561,7608,10079,12950,14342,12875,9682,6824,5303,4958,5158
12348,9796,5988,3673,3142,4336,6703,10594,19264,25892,20131,12558,9134,6461,5179,6329,9590,14247,19284,24397,30264,34778,34324,30361,25935,22366,18305,15153,12873,11010,9208,7580,6754,6909,8186,9242,9105,12564,16210,9529,4730,3305,3993,6303,9897,12410,9314,7639,8950,10371,8303,7570,8966,8782,7950,9417,10225,8291,5182,2797,1532,991,828,951,1432,2173,3277,4897,7099,10074,13152,13989,12928,11553,10558,9272,7762,7140,7760,9211,10793
9623,7564,4711,3356,4013,6347,8416,8391,10286,12208,9076,5562,4054,2982,2940,4500,7717,12106,15767,18658,21138,22528,21215,18244,14997,12251,9695,7611,5985,4788,3956,3290,3216,4156,6000,7595,7828,11152,15067,9410,5821,5974,6851,7163,9054,10632,7639,6060,7081,8014,5839,4872,5515,5277,4777,5715,6104,4859,2886,1522,960,767,860,1155,1851,2963,4622,6662,9690,13642,18014,19936,19520,18697,17663,15362,12523,10491,10253,11567,13180
15429,12601,8583,7333,10183,17043,21790,16910,12923,11722,7804,4643,3329,2317,2160,3350,5869,9501,14007,19671,26736,32190,32045,27876,23483,19891,16068,13156,10984,9237,7607,6339,5581,5771,6980,8174,9607,14658,20442,13040,6877,5405,4651,2492,1158,987,1099,1552,2515,3804,4973,6922,9796,10189,9583,11601,12550,10244,6355,3648,2122,1514,1337,1652,2420,3645,5372,7752,10829,15416,20392,21902,18725,14624,11655,9106,7051,6126,6130,7129,8276
9111,7432,5280,5248,8380,14839,19602,16005,14275,14238,9852,5895,4040,2476,1598,1712,2473,4079,6692,10654,16051,20476,20236,17162,14179,12111,10130,8724,7704,6765,5910,5055,4605,4739,5908,7160,8905,13989,19511,12436,6459,4904,4315,2931,2628,3208,3836,5527,8058,10215,8795,8787,11358,13643,16666,22676,26164,22674,14654,8196,4769,2776,1836,1646,2082,3039,4462,6509,9286,13005,17312,20071,20438,21445,21618,18825,14530,10788,9037,9079,9756
16827,13557,8715,6510,7419,11670,15737,16602,21990,26958,20265,12570,8970,6155,4807,5670,8238,12499,17569,24034,32483,39140,39110,34994,29889,24955,19488,15040,11451,8851,6943,5245,4191,3672,3806,3818,3905,5579,7181,4608,3485,4118,4439,2765,1983,2218,2122,2784,3994,5122,4514,4751,6112,5901,5028,5922,6212,4819,2828,1431,771,517,469,577,792,1237,2009,3060,4659,6621,8791,10116,10845,11801,12016,10491,8284,6378,5681,6152,6940
9541,7853,5885,6196,10483,19166,26024,23799,25682,28853,21243,13023,9303,6229,4738,5538,7992,11892,16121,20545,25806,29155,27814,22831,18056,14533,11070,8216,6071,4585,3666,3052,2933,3655,5609,7305,9017,14460,20587,13174,6761,5381,5518,5597,7072,8429,5906,4795,5529,7057,7282,8816,11532,10127,6425,5851,5563,4139,2312,1171,584,440,348,479,757,1198,1961,3068,4672,6632,9103,11253,13431,16149,17426,15160,10808,6479,3681,2287,1796
18056,14887,10081,8845,12326,21107,28556,27203,30506,35324,26370,16315,11442,7486,5194,5033,6119,8301,10920,13989,17898,22364,25388,27435,27202,24579,19945,15382,11741,9022,6839,5105,4362,4403,5302,5798,5639,7748,10332,7089,5668,6985,8866,8898,11240,13333,10347,9247,11299,13438,11153,10675,12800,11266,7551,7237,7125,5462,3391,1933,1253,1067,1344,1918,2902,4223,6339,9044,12887,18143,24092,26931,25934,24501,23296,19640,14764,10714,8756,8458,8907
9599,7973,5942,6231,10430,18561,25271,22336,22254,24242,17464,10758,7521,4770,3136,3070,3823,5337,6754,8265,10247,13313,17011,20665,22430,21770,18838,16255,14113,12101,10075,8095,6817,6270,6753,6407,4025,3589,3850,3331,4102,6214,7939,7376,8834,10492,8200,7605,9591,11103,8298,6799,7865,8384,9494,12328,13600,10995,6803,3686,2025,1169,907,857,1292,2038,3050,4705,6758,9638,12590,12978,10609,8182,6359,4922,4001,3726,4115,4964,5767
9717,8151,6289,7158,12436,22913,31509,29890,33317,38186,28355,17482,12420,8311,5934,6137,8213,11423,15505,19729,25120,28184,26347,21240,16799,13562,11050,9268,7814,6805,5708,4599,3826,3412,3410,3710,4494,6779,8710,4934,2800,2541,3665,5990,9491,11321,6870,3294,2487,3054,4985,7559,11115,12696,14120,18145,20581,17221,10687,5860,3388,1798,1129,900,1144,1622,2457,3725,5410,7791,10338,11490,11553,11873,11638,9931,7781,5908,5268,5632,6213
