17,104,81,31
48,153,31,24
145,157,18,62
243,31,48,52
277,144,17,27
306,191,47,25
594,85,57,68
554,107,19,36
589,194,45,19
846,102,34,57
814,100,13,67
788,101,20,71
24,399,54,51
99,398,21,49
126,406,11,41
192,382,19,69
243,381,98,72
385,374,18,31
576,351,81,65
578,301,55,21
690,338,25,75
409,246,54,51
878,350,53,48
949,372,20,23
814,344,18,52
837,381,17,36
1171,354,66,78
1170,310,41,13
1133,429,18,32
13,638,61,76
110,637,13,60
99,601,23,27
262,610,92,89
386,612,18,63
728,588,14,61
749,582,14,62
799,585,65,58
1069,619,82,70
1087,574,42,19
1191,610,20,75
172,855,75,63
166,820,64,14
244,816,19,14
321,800,15,93
380,805,76,91
341,826,13,47
694,798,17,25
616,785,24,55
656,791,14,32
691,705,56,18
958,837,85,105
906,862,18,68
968,783,65,21
1168,865,61,64
1126,863,17,57
