CCT
6723
5759
6216
6413
11588
13166
13586
9268
4391009636686238208
10859
6682
20607
10874
9383
6144
7053
7987
10464
8212
4255
5136
4614
5563
7198
26917
6090
25582
11864
6162
6444
5563
11330
6177
3398
21362
4081
4584
6976
7631
24074
8075
640355572016748288
8344
15091
5490
3685
7327
8020
6216
10409
4913
8395
10940
5082
8884
10494
11040
4832
8823
7970
10048
6948
7636
11387
7642
6693
7568
5261
5990
4312
4847
10136
13719
5305
11196
12602
8402
7001
12654
6719
9065
5662
14739
5535
11791
5660
35280
8885
6694
5008
6941
6021
5387
16481
9273
5959
11574
7801
15044
12397
23719
9105
7442
6862
4731
8043
36538
9407
30838
9679
6940
12366
4002
6622
12402
3561
6153
4998
11206
6314
14139
6090
6286
4312
4364
5649
7713
13094
10454
9139
8146
5536
21304
8070
5388
6996
6547
14007
5757
4215
5682
9828
5922
12077
7297
9031
4837
5012
6626
19162
7367
5564
7095
5022
5041
7520
7509
11643
7954
4839
4490
5971
4190
8190
12381
6458
6398
24448
35794
6216
9128
5616
7757
34411
10261
8913
10893
7414
5458
5487
2927339757790827520
13322
5440
8606
12095
4545
6196
8170
6117
5050
6738
11710
8926
8146
6759
10340
7235
8841
20286
4927
5597
10979
5669
9083
4973
5203
4858
7421
9654
4067
5170
7086
9317
13040
6189
14288
8990
9039
7248
12758
4011
5259
11731
5346
7909
5769
3831
7882
5443
15787
4245
6887
7869
4003
7483
4600
4919
7581
6655
8812
9768
4345
10673
4032
8273
7333
11038
5463
6173
12228
5093
13831
6969
5620
21067
7568
4490
8521
3582
6345
54351
7452
7403
14845
6607
4330
5398
9040
5915
4288
7938
436898
33042
11338
7856
16527
5659
3590
10364
4676
9471
6045
5730
19546
5256
16753
6209
4566
8404
41563
2927339757790827520
6967
5855
6488
8671
29672
9197
9304
9625
4731
6459
6389
4274
33564
5803
10167
15444
18155
7403
6372
4634
9388
9060
5905
4982
5826
9554
143893
2927339757790827520
4675
6318
11898
11927
8290
10723
6717
4725
4631
10802
6124
15444
14473
6803
6379
7292
6107
9285
10854
6001
10865
6895
11626
3256
8597
5735
4426
9556
12952
10967
13375
6674
5204
14958
9028
4891
5867
4768
12112
21404
7372
9261
4466
7756
4918
5214
6219
6422
8220
9023
6349
5739
6428
6143
7408
5984
5978
13976
7338
5482
23488
6435
137219051146450928
3718
5043
6183
8946
9369
20213
5315
11700
7207
19169
5414
6141
6332
4840
4307
11239
11164
5631
9810
7395
9488
5426
4973
6658
8057
5275
7351
12016
8669
9892
4703
11748
23662
11838
5279
28966
5596
4330
6742
6492
4473
10718
8275
4735
10616
6208
5213
9433
2927339757790827520
8340
21437
6871
2927339757790827520
2927339757790827520
12661
7449
2927339757790827520
6920
5462
7274
9155
4433
7273
3734
3751
8783
6300
10756
5273
6029
8017
6893
9010
5070
4827
3944
5959
7869
259563
137219051146450928
6410
4576
6719
5673
7906
5323
4391009636686238208
22001
7783
21368
14848
4897
12998
8387
16316
8771
7760
11399
5450
4391009636686238208
6585
6075
6248
174221
9705
4391009636686238208
5363
4887
6312
3925
11979
5122
7425
6003
79622
4129
5491
12537
5212
8612
8382
5808
5632
7767
6632
10431
3686
8762
4352
4082
2927339757790827520
5734
16574
4633
6465
13507
6997
4689
9041
17443
8406
2927339757790827520
5665
7305
15129
12397
4715
4178
16126
30062
5783
15365
14438
7623
10371
5918
8342
5246
18332
6078
25336
9076
5373
5693
4030
2927339757790827520
8976
7646
4771
7906
13589
7844
5684
11562
8022
5545
12044
7097
9948
10250
12637
14252
5318
7684
4194
6612
106379
7806
7021
6028
20772
5367
6934
118502
10458
6158
6227
4590
