17946,9770,9939,21425,20559,16617,7285,4109,7933,17619,31989,39176,30993,20146,11210,6442,3422,2710,4178,8674,4586,7487,10663,8478,5922,6966,11504,17296,28201,16235,5033,1320,637,1119,2641,5561,10079,14342,9682,5303,5158
12348,5988,3142,6703,19264,20131,9134,5179,9590,19284,30264,34324,25935,18305,12873,9208,6754,8186,9105,16210,4730,3993,9897,9314,8950,8303,8966,7950,10225,5182,1532,828,1432,3277,7099,13152,12928,10558,7762,7760,10793
9623,4711,4013,8416,10286,9076,4054,2940,7717,15767,21138,21215,14997,9695,5985,3956,3216,6000,7828,15067,5821,6851,9054,7639,7081,5839,5515,4777,6104,2886,960,860,1851,4622,9690,18014,19520,17663,12523,10253,13180
15429,8583,10183,21790,12923,7804,3329,2160,5869,14007,26736,32045,23483,16068,10984,7607,5581,6980,9607,20442,6877,4651,1158,1099,2515,4973,9796,9583,12550,6355,2122,1337,2420,5372,10829,20392,18725,11655,7051,6130,8276
9111,5280,8380,19602,14275,9852,4040,1598,2473,6692,16051,20236,14179,10130,7704,5910,4605,5908,8905,19511,6459,4315,2628,3836,8058,8795,11358,16666,26164,14654,4769,1836,2082,4462,9286,17312,20438,21618,14530,9037,9756
16827,8715,7419,15737,21990,20265,8970,4807,8238,17569,32483,39110,29889,19488,11451,6943,4191,3806,3905,7181,3485,4439,1983,2122,3994,4514,6112,5028,6212,2828,771,469,792,2009,4659,8791,10845,12016,8284,5681,6940
9541,5885,10483,26024,25682,21243,9303,4738,7992,16121,25806,27814,18056,11070,6071,3666,2933,5609,9017,20587,6761,5518,7072,5906,5529,7282,11532,6425,5563,2312,584,348,757,1961,4672,9103,13431,17426,10808,3681,1796
18056,10081,12326,28556,30506,26370,11442,5194,6119,10920,17898,25388,27202,19945,11741,6839,4362,5302,5639,10332,5668,8866,11240,10347,11299,11153,12800,7551,7125,3391,1253,1344,2902,6339,12887,24092,25934,23296,14764,8756,8907
9599,5942,10430,25271,22254,17464,7521,3136,3823,6754,10247,17011,22430,18838,14113,10075,6817,6753,4025,3850,4102,7939,8834,8200,9591,8298,7865,9494,13600,6803,2025,907,1292,3050,6758,12590,10609,6359,4001,4115,5767
9717,6289,12436,31509,33317,28355,12420,5934,8213,15505,25120,26347,16799,11050,7814,5708,3826,3410,4494,8710,2800,3665,9491,6870,2487,4985,11115,14120,20581,10687,3388,1129,1144,2457,5410,10338,11553,11638,7781,5268,6213
3646,2280,5413,14898,20320,18739,8088,3093,2553,5241,13080,21543,23782,18030,11694,7411,4330,3154,1380,1012,1463,3567,6652,6437,7441,8801,13030,15737,23613,12836,4128,1423,1632,3613,7497,13847,12539,8446,5812,5621,7843
12107,6944,10150,23217,15222,10131,4402,3377,9098,20125,32449,38235,31817,22640,15559,10695,7104,6649,7134,12866,4715,4592,2670,3458,6765,7641,10228,11563,16431,8524,2774,1282,1972,4423,9298,16978,12992,4207,1657,1760,2938
412,1184,7085,19887,23078,20039,8581,3189,1898,2394,4811,7043,7149,5274,3508,2210,1810,3312,7840,19558,6537,5363,5019,4931,6769,7786,10448,3357,791,314,350,568,1480,3596,7745,14537,15970,14760,8730,4171,3726
10090,6407,11509,28605,24924,19190,8085,2984,2086,4361,13148,22156,24363,19776,14699,10474,7032,6516,5511,8302,2485,2364,5602,5730,7375,6431,6397,5335,6540,2982,959,675,1452,3386,7042,13414,17229,20323,13727,8195,8695
13785,8254,12589,30384,28532,22921,9981,4423,5572,10561,19049,27207,28244,22194,16187,11305,7496,6484,9350,19767,6365,4471,5404,5880,8539,8628,9803,7127,7962,3809,1266,1096,2108,4956,10324,19305,18949,14504,9687,7936,10282
7676,3461,1497,3415,12026,12733,5831,3657,7964,16680,25761,28563,21228,14095,8932,5770,3779,4158,5624,11660,5383,6986,6662,6015,7322,6199,5778,6134,8421,4055,1389,971,1953,4448,9021,17028,15807,11043,5934,3147,3409
9978,4800,3097,7480,20412,21572,9722,5289,8851,16178,20905,27014,30224,24325,17808,12667,8419,7511,5595,7189,3413,4349,5204,6565,11358,12629,16469,16213,21826,11620,4067,1888,2730,5718,11579,21793,24076,22312,14861,10198,11880
11426,5688,4447,10308,21340,21432,9513,3757,3343,7331,20754,29824,26351,19332,12996,8926,5990,6154,5158,7495,4306,6496,6182,5498,6629,6119,7378,14230,23408,12899,4378,1813,2189,4573,9445,17528,17148,12419,7062,3701,3739
7796,5518,11833,28628,15796,8857,3927,3081,8118,14947,13810,11944,11255,9964,9368,8034,6319,7503,7507,11996,3532,2001,903,1751,4562,6202,9733,10583,14495,7391,2334,993,1241,2934,6053,11403,10174,6930,5493,6569,9744
11011,5425,4546,10930,21049,20702,9070,3998,4935,11788,28727,40067,34970,24518,15153,9512,5483,3632,4543,8506,1870,898,2061,3206,6464,8982,15145,17765,26164,14613,4880,1963,2437,5128,10566,19851,21088,18390,10423,4330,3331
17932,9209,7272,13401,7302,4123,1526,1336,4585,12946,29938,41355,37004,26525,16977,11117,7785,9267,10961,21017,8669,9533,11394,9960,9893,8092,6609,4043,4054,1672,371,157,130,305,643,1454,2233,2781,2018,1918,2965
11621,5497,2525,5110,17123,18115,8120,3971,5947,13545,30523,42582,38533,28225,18647,12410,8685,9823,11997,23482,8376,6605,4854,6444,12339,12126,12590,12201,16420,8240,2540,764,708,1531,3471,7050,12330,17558,11289,5004,3912
2790,1053,465,937,3621,3717,1804,2311,7814,15522,17338,17786,16875,13149,9948,7230,4723,4055,2776,3675,3445,6204,5701,4757,5113,5781,8220,9567,13367,6759,2221,1174,1868,4328,8835,16489,13275,6166,3291,2937,4128
18195,10109,11939,25166,10474,3826,1415,1856,6888,15688,25006,30663,27240,20811,15544,11295,7516,6390,6211,10111,5164,7160,8383,8090,9880,9152,8998,4624,3810,1612,717,1045,2495,5588,11495,21495,21131,15405,10123,8955,11807
12063,6476,7689,18108,22634,20216,8855,3984,5224,11119,23076,32076,29309,21167,13359,8499,6126,8082,10178,19919,6561,5174,4464,5398,9339,8726,9107,16132,26470,14535,4660,1660,1809,4050,8368,15664,17762,17280,11068,6365,6832
8885,5740,11715,29688,27608,22066,9393,3654,3447,6720,15189,18081,11521,7410,4834,3357,2821,4950,7497,16478,6658,7852,10203,7456,3849,2735,2526,1319,1349,601,294,581,1399,3602,7968,14941,13864,9646,5757,4238,5604
